"tip","broj","ukupno_ms","ktor_ms","ok"
"hladan","1","2406","874","True"
"hladan","2","1764","716","True"
"hladan","3","1778","731","True"
"topao","1","1764","704","True"
"topao","2","1765","694","True"
"topao","3","1745","698","True"
"topao","4","1771","722","True"
"topao","5","1756","698","True"
