"ruta","zahteva","zahteva/s","pad %","min","med","avg","p90","p95","p99","max","greske"
"resources","97518","3250.4","0","0.52","2.90","2.98","3.63","3.92","4.58","11.11","0"
"availability","94847","3161.4","0","0.50","2.97","3.06","3.74","4.05","5.04","64.46","0"
